,ghazal_id,bayt_id,line,tashbih_cl,kenaye_cl,esteare_cl,jenas_cl,iham_cl,majaz_cl
21,3,6,اگر دشنام فرمایی و گر نفرین دعا گویم ** جواب تلخ می‌زیبد لب لعل شکرخا را,لب:لعل,شکرخا:شیرین سخن,,,,
22,3,7,نصیحت گوش کن جانا که از جان دوست‌تر دارند ** جوانان سعادتمند پند پیر دانا را,,,,,,
23,3,8,حدیث از مطرب و می گو و راز دهر کمتر جو ** که کس نگشود و نگشاید به حکمت این معما را,,,,,,
24,3,9,غزل گفتی و در سفتی بیا و خوش بخوان حافظ ** که بر نظم تو افشاند فلک عقد ثریا را,,در:سخن گرانبها و معانی دشوار را بیان کردن,,,,
25,4,1,صبا به لطف بگو آن غزال رعنا را ** که سر به کوه و بیابان تو داده‌ای ما را,,سر به کوه و بیابان دادن:آواره و شیدا شدن,غزال رعنا:معشوق زیبای خوش رفتار,,,
26,4,2,شکرفروش که عمرش دراز باد چرا ** تفقدی نکند طوطی شکرخا را,,,شکرفروش:معشوق نوشین لب و شیرین دهان، طوطی شکرخا:خود شاعر,,,
27,4,3,غرور حسنت اجازت مگر نداد ای گل ** که پرسشی نکنی عندلیب شیدا را,,,گل:معشوق، عندلیب شیدا:خود شاعر,,,
28,4,4,به خلق و لطف توان کرد صید اهل نظر ** به بند و دام نگیرند مرغ دانا را,,,اهل نظر:خود شاعر، مرغ دانا:سیمرغ و مردم صاحب نظر و اهل بصیرت یا خود شاعر,,,
29,4,5,ندانم از چه سبب رنگ آشنایی نیست ** سهی قدان سیه چشم ماه سیما را,,,,,,
30,4,6,چو با حبیب نشینی و باده پیمایی ** به یاد دار محبان بادپیما را,,بادپیما:تهی دست,,باده-باد,,
31,4,7,جز این قدر نتوان گفت در جمال تو عیب ** که وضع مهر و وفا نیست روی زیبا را,,,,,,
32,4,8,در آسمان نه عجب گر به گفته حافظ ** سرود زهره به رقص آورد مسیحا را,,,,,,
33,5,1,دل می‌رود ز دستم صاحب دلان خدا را ** دردا که راز پنهان خواهد شد آشکارا,,دل از دست رفتن:بی تاب شدن، فریفته و عاشق گشتن.,,,,
34,5,2,کشتی شکستگانیم ای باد شرطه برخیز ** باشد که بازبینم دیدار آشنا را,,,,,آشنا:کشتی,
35,5,3,ده روزه مهر گردون افسانه است و افسون ** نیکی به جای یاران فرصت شمار یارا,,مهر گردون:دوران توانایی و جوانی,,یاران-یارا,مهر:گردون,
36,5,4,در حلقه گل و مل خوش خواند دوش بلبل ** هات الصبوح هبوا یا ایها السکارا,,,,گل-مل,,
37,5,5,ای صاحب کرامت شکرانه سلامت ** روزی تفقدی کن درویش بی‌نوا را,,,,,,
38,5,6,آسایش دو گیتی تفسیر این دو حرف است ** با دوستان مروت با دشمنان مدارا,,,,,,حرف:جمله و کلام
39,5,7,در کوی نیک نامی ما را گذر ندادند ** گر تو نمی‌پسندی تغییر کن قضا را,,,,,,
40,5,8,آن تلخ وش که صوفی ام الخبائثش خواند ** اشهی لنا و احلی من قبله العذارا,,تلخ وش:می,,,,
41,5,9,هنگام تنگدستی در عیش کوش و مستی ** کاین کیمیای هستی قارون کند گدا را,,,کیمیای هستی:عیش و مستی,,,
42,5,10,سرکش مشو که چون شمع از غیرتت بسوزد ** دلبر که در کف او موم است سنگ خارا,,,,,,
43,5,11,آیینه سکندر جام می است بنگر ** تا بر تو عرضه دارد احوال ملک دارا,,,,,,
44,5,12,خوبان (ترکان) پارسی گو بخشندگان عمرند ** ساقی بده بشارت رندان پارسا را,,,,,,
45,5,13,حافظ به خود نپوشید این خرقه می آلود ** ای شیخ پاکدامن معذور دار ما را,,,,,,
46,6,1,به ملازمان سلطان که رساند این دعا را ** که به شکر پادشاهی ز نظر مران گدا را,,,,,,
47,6,2,ز رقیب دیوسیرت به خدای خود پناهم ** مگر آن شهاب ثاقب مددی دهد خدا را,,,شهاب ثاقب:معشوق,,,
48,6,3,مژه سیاهت ار کرد به خون ما اشارت ** ز فریب او بیندیش و غلط مکن نگارا,,,,,,
49,6,4,دل عالمی بسوزی چو عذار برفروزی ** تو از این چه سود داری که نمی‌کنی مدارا,,عذار برفروختن:چهره خود را نمایاندن و آشکار ساختن,,,,عالم:مردم جهان، مخصوصاً مردم شیراز و فارس
50,6,5,همه شب در این امیدم که نسیم صبحگاهی ** به پیام آشنایان بنوازد آشنا را,,,,,,
51,6,6,چه قیامت است جانا که به عاشقان نمودی ** دل و جان فدای رویت بنما عذار ما را,,,قیامت نمودن:قد و قامت خود را نشان دادن.,,,
52,6,7,به خدا که جرعه‌ای ده تو به حافظ سحرخیز ** که دعای صبحگاهی اثری کند شما را,,,,,,
53,7,1,صوفی بیا که آینه صافیست جام را ** تا بنگری صفای می لعل فام را,,,,صوفی-صافی,,
54,7,2,راز درون پرده ز رندان مست پرس ** کاین حال نیست زاهد عالی مقام را,,,,,,
55,7,3,عنقا شکار کس نشود دام بازچین ** کان جا همیشه باد به دست است دام را,,باد به دست بودن:بی حاصل و تهی دست بودن، کار بیهوده و بی ثمر کردن,عنقا:ذات حق و محبوب عرفانی,,,
56,7,4,در بزم دور یک دو قدح درکش و برو ** یعنی طمع مدار وصال دوام را,,یک دو:هر چیز اندک,,,دور:1. دایره و حلقه و مجلس شراب، 2. دوران و روزگار,
57,7,5,ای دل شباب رفت و نچیدی گلی ز عیش ** پیرانه سر مکن هنری ننگ و نام را,,گل از عیش چیدن:از زندگی لذت و فایده بردن,,,,
58,7,6,در عیش نقد کوش که چون آبخور نماند ** آدم بهشت روضه دارالسلام را,,,,,بهشت:دارالسلام,
59,7,7,ما را بر آستان تو بس حق خدمت است ** ای خواجه بازبین به ترحم غلام را,,,غلام:شاعر,,,
60,7,8,حافظ مرید جام می است ای صبا برو ** وز بنده بندگی برسان شیخ جام را,,,,,,
61,8,1,ساقیا برخیز و درده جام را ** خاک بر سر کن غم ایام را,,خاک بر سر کردن:پست و ناچیز کردن، نیست و نابود کردن,,,,
62,8,2,ساغر می بر کفم نه تا ز بر ** برکشم این دلق ازرق فام را,,,,,,
63,8,3,گر چه بدنامیست نزد عاقلان ** ما نمی‌خواهیم ننگ و نام را,,,,,,
64,8,4,باده درده چند از این باد غرور ** خاک بر سر نفس نافرجام را,,باد غرور:خوار و ذلیل,,باده-باد,,
65,8,5,دود آه سینهٔ نالان من ** سوخت این افسردگان خام را,,,,,,
66,8,6,محرم راز دل شیدای خود ** کس نمی‌بینم ز خاص و عام را,,,,,,
67,8,7,با دلارامی مرا خاطر خوش است ** کز دلم یک باره برد آرام را,,دلارام:دلبر و معشوق,,,,
68,8,8,ننگرد دیگر به سرو اندر چمن ** هر که دید آن سرو سیم اندام را,,,,,,چمن:باغ
69,8,9,صبر کن حافظ به سختی روز و شب ** عاقبت روزی بیابی کام را,,,,,,
70,9,1,رونق عهد شباب است دگر بستان را ** می‌رسد مژده گل بلبل خوش الحان را,,,,,,
71,9,2,ای صبا گر به جوانان چمن بازرسی ** خدمت ما برسان سرو و گل و ریحان را,,,سرو و گل و ریحان:معشوقان زیبا,,جوانان چمن:1. جوانه ها یا شاخه های تازه روییده، 2. جوانانی که به گلگشت چمن رفته اند.,صبا:باغ
72,9,3,گر چنین جلوه کند مغبچه باده فروش ** خاکروب در میخانه کنم مژگان را,,,مغبچه:ساقی زیبا,,,
73,9,4,ای که بر مه کشی از عنبر سارا چوگان ** مضطرب حال مگردان من سرگردان را,,,مه:چهره زیبای معشوق، عنبرسارا:زلف مشکین، چوگان:حلقه زلف,,,
74,9,5,ترسم این قوم که بر دردکشان می‌خندند ** در سر کار خرابات کنند ایمان را,,دردکشان:رندان عاشق پیشه، در سر چیزی کردن:بر باد دادن، نابود کردن,,,دُدرکَشان:دردکشان,
75,9,6,یار مردان خدا باش که در کشتی نوح ** هست خاکی که به آبی نخرد طوفان را,,,مردان خدا:حضرت نوح,,,
76,9,7,برو از خانه گردون به در و نان مطلب ** کان سیه کاسه در آخر بکشد مهمان را,,سیه کاسه:بخیل و سفله,خانه گردون:دنیا، مهمان:مردم جهان,,,
77,9,8,هر که را خوابگه آخر مشتی خاک است ** گو چه حاجت که به افلاک کشی ایوان را,,ایوان به افلاک کشیدن:کاخ مجلل و باشکوه ساختن,خوابگه آخر:قبر,,,
78,9,9,ماه کنعانی من مسند مصر آن تو شد ** وقت آن است که بدرود کنی زندان را,,,ماه کنعانی:یوسف,,,
79,9,10,حافظا می خور و رندی کن و خوش باش ولی ** دام تزویر مکن چون دگران قرآن را,تزویر:دام,,,,,
80,10,1,دوش از مسجد سوی میخانه آمد پیر ما ** چیست یاران طریقت بعد از این تدبیر ما,,پیر ما:شیخ صنعان,,,,
81,10,2,ما مریدان روی سوی قبله چون آریم چون ** روی سوی خانه خمار دارد پیر ما,,,,,,
82,10,3,در خرابات طریقت ما به هم منزل شویم ** کاین چنین رفته‌ست در عهد ازل تقدیر ما,,,,,,
83,10,4,عقل اگر داند که دل در بند زلفش چون خوش است ** عاقلان دیوانه گردند از پی زنجیر ما,زلف:بند و دام,,زنجیر:زلف مجعد و گره دار معشوق,,,
84,10,5,روی خوبت آیتی از لطف بر ما کشف کرد ** زان زمان جز لطف و خوبی نیست در تفسیر ما,,,,,,
85,10,6,با دل سنگینت آیا هیچ درگیرد شبی ** آه آتشناک و سوز سینه شبگیر ما,,,,,,
86,10,7,تیر آه ما ز گردون بگذرد حافظ خموش ** رحم کن بر جان خود پرهیز کن از تیر ما,آه:تیر,,,,,
87,11,1,ساقی به نور باده برافروز جام ما ** مطرب بگو که کار جهان شد به کام ما,,,,,,
88,11,2,ما در پیاله عکس رخ یار دیده‌ایم ** ای بی‌خبر ز لذت شرب مدام ما,,,,,مدام:1. پیوسته، 2. شراب,
89,11,3,هرگز نمیرد آن که دلش زنده شد به عشق ** ثبت است بر جریده عالم دوام ما,عالم:دفتر,,,,,
90,11,4,چندان بود کرشمه و ناز سهی قدان ** کاید به جلوه سرو صنوبرخرام ما,,,سرو صنوبرخرام:حرکات زیبای معشوق,,,
91,11,5,ای باد اگر به گلشن احباب بگذری ** زنهار عرضه ده بر جانان پیام ما,,باد:باد صبا,,,,
92,11,6,گو نام ما ز یاد به عمدا چه می‌بری ** خود آید آن که یاد نیاری ز نام ما,,,,,,
93,11,7,مستی به چشم شاهد دلبند ما خوش است ** زان رو سپرده‌اند به مستی زمام ما,,,,,,
94,11,8,ترسم که صرفه‌ای نبرد روز بازخواست ** نان حلال شیخ ز آب حرام ما,,,,,,
95,11,9,حافظ ز دیده دانه اشکی همی‌فشان ** باشد که مرغ وصل کند قصد دام ما,دانه:اشک,,,,,
96,11,10,دریای اخضر فلک و کشتی هلال ** هستند غرق نعمت حاجی قوام ما,فلک:دریا/ هلال:کشتی,,,,,
97,12,1,ای فروغ ماه حسن از روی رخشان شما ** آب روی خوبی از چاه زنخدان شما,حسن:ماه/ زنخدان:چاه,,,روی-آب روی,روی:زنخدان,
98,12,2,عزم دیدار تو دارد جان بر لب آمده ** بازگردد یا برآید چیست فرمان شما,,,,,,
99,12,3,کس به دور نرگست طرفی نبست از عافیت ** به که نفروشند مستوری به مستان شما,,فروختن:تظاهر و ادعا کردن,نرگس:چشم معشوق,,,
100,12,4,بخت خواب آلود ما بیدار خواهد شد مگر ** زان که زد بر دیده آبی روی رخشان شما,,,,,,
101,12,5,با صبا همراه بفرست از رخت گلدسته‌ای ** بو که بویی بشنویم از خاک بستان شما,گلدسته:صورت معشوق,,بستان:خاک کوی معشوق,,,
102,12,6,عمرتان باد و مراد ای ساقیان بزم جم ** گر چه جام ما نشد پرمی به دوران شما,,,,جام-جم,دوران:1. گردنش جام باده در مجلس شراب، 2. ایام و روزگار,
103,12,7,دل خرابی می‌کند دلدار را آگه کنید ** زینهار ای دوستان جان من و جان شما,,خرابی کردن:بی قراری و بدمستی کردن,,,,
104,12,8,کی دهد دست این غرض یا رب که همدستان شوند ** خاطر مجموع ما زلف پریشان شما,,,,,,
105,12,9,دور دار از خاک و خون دامن چو بر ما بگذری ** کاندر این ره کشته بسیارند قربان شما,,دامن از خاک و خون دور داشتن:خود را کنار نگاه داشتن,,,,
106,12,10,می‌کند حافظ دعایی بشنو آمینی بگو ** روزی ما باد لعل شکرافشان شما,,,لعل:لب معشوق,,,
107,12,11,ای صبا با ساکنان شهر یزد از ما بگو ** کای سر حق ناشناسان گوی چوگان شما,,,,,,
108,12,12,گر چه دوریم از بساط قرب همت دور نیست ** بنده شاه شماییم و ثناخوان شما,,,,,,
109,12,13,ای شهنشاه بلنداختر خدا را همتی ** تا ببوسم همچو اختر خاک ایوان شما,,,,,,
110,13,1,می‌دمد صبح و کله بست سحاب ** الصبوح الصبوح یا اصحاب,,,,,,
111,13,2,می‌چکد ژاله بر رخ لاله ** المدام المدام یا احباب,,,,ژاله-لاله,,
112,13,3,می‌وزد از چمن نسیم بهشت ** هان بنوشید دم به دم می ناب,,,,,,چمن:باغ
113,13,4,تخت زمرد زده است گل به چمن ** راح چون لعل آتشین دریاب,,,تخت زمرد:چمن و شاخ و برگ نورسته,,,
114,13,5,در میخانه بسته‌اند دگر ** افتتح یا مفتح الابواب,,,,,,
115,13,6,لب و دندانت را حقوق نمک ** هست بر جان و سینه‌های کباب,,,,,,نمک:نمکین بودن لب
116,13,7,این چنین موسمی عجب باشد ** که ببندند میکده به شتاب,,,,,,
117,13,8,بر رخ ساقی پری پیکر ** همچو حافظ بنوش باده ناب,,,,,,
118,14,1,گفتم ای سلطان خوبان رحم کن بر این غریب ** گفت در دنبال دل ره گم کند مسکین غریب,,به دنبال دل رفتن:عاشق شدن,,,,
119,14,2,گفتمش مگذر زمانی گفت معذورم بدار ** خانه پروردی چه تاب آرد غم چندین غریب,,خانه پرورد:نازپرورده و عزیز,,,,
120,14,3,خفته بر سنجاب شاهی نازنینی را چه غم ** گر ز خار و خاره سازد بستر و بالین غریب,,,,خار-خاره,,
121,14,4,ای که در زنجیر زلفت جای چندین آشناست ** خوش فتاد آن خال مشکین بر رخ رنگین غریب,زلف:زنجیر,,,,,
122,14,5,می‌نماید عکس می در رنگ روی مه وشت ** همچو برگ ارغوان بر صفحه نسرین غریب,,,,,,
123,14,6,بس غریب افتاده است آن مور خط گرد رخت ** گر چه نبود در نگارستان خط مشکین غریب,خط ظریف:مور,,,,,
124,14,7,گفتم ای شام غریبان طره شبرنگ تو ** در سحرگاهان حذر کن چون بنالد این غریب,زلف سیاه معشوق:شام غریبان,,,,,
125,14,8,گفت حافظ آشنایان در مقام حیرتند ** دور نبود گر نشیند خسته و مسکین غریب,,,,,,
126,15,1,ای شاهد قدسی که کشد بند نقابت ** و ای مرغ بهشتی که دهد دانه و آبت,مرغ بهشتی:معشوق زیبا,دانه و آب دادن:پذیرایی و مراقبت کردن,,,,
127,15,2,خوابم بشد از دیده در این فکر جگرسوز ** کاغوش که شد منزل آسایش و خوابت,,بی خواب شدن:مضطرب و بی قرار شدن,,,,
128,15,3,درویش نمی‌پرسی و ترسم که نباشد ** اندیشه آمرزش و پروای ثوابت,,,درویش:شاعر,,,
129,15,4,راه دل عشاق زد آن چشم خماری ** پیداست از این شیوه که مست است شرابت,,راه دل زدن:عاشق و بی قرار کردن,شراب:چشم مست معشوق,,عشاق:راه، شیوه:1. راه و روش 2. کرشمه و ناز,
130,15,5,تیری که زدی بر دلم از غمزه خطا رفت ** تا باز چه اندیشه کند رای صوابت,,,,,,
131,15,6,هر ناله و فریاد که کردم نشنیدی ** پیداست نگارا که بلند است جنابت,,بلند بودن جناب:بلند بودن مقام و مرتبه,,,,
132,15,7,دور است سر آب از این بادیه هش دار ** تا غول بیابان نفریبد به سرابت,,سر آب:راهزن راه سلوک و حقیقت,,سر آب-سراب,,
133,15,8,تا در ره پیری به چه آیین روی ای دل ** باری به غلط صرف شد ایام شبابت,,,,,,
134,15,9,ای قصر دل افروز که منزلگه انسی ** یا رب مکناد آفت ایام خرابت,,,,,,
135,15,10,حافظ نه غلامیست که از خواجه گریزد ** صلحی کن و بازآ که خرابم ز عتابت,,,,,,
136,16,1,خمی که ابروی شوخ تو در کمان انداخت ** به قصد جان من زار ناتوان انداخت,,,کمان:ابرو,,,
137,16,2,نبود نقش دو عالم که رنگ الفت بود ** زمانه طرح محبت نه این زمان انداخت,,,,,,
138,16,3,به یک کرشمه که نرگس به خودفروشی کرد ** فریب چشم تو صد فتنه در جهان انداخت,,,,,,
139,16,4,شراب خورده و خوی کرده می‌روی به چمن ** که آب روی تو آتش در ارغوان انداخت,,آتش در کسی انداختن:کسی را از شدت حسادت سوزاندن,,,آب روی:1. ارزش و اعتبار 2. قطرات عرق,چمن:باغ
140,16,5,به بزمگاه چمن دوش مست بگذشتم ** چو از دهان توام غنچه در گمان انداخت,چمن:بزم گاه,,,,,
141,16,6,بنفشه طره مفتول خود گره می‌زد ** صبا حکایت زلف تو در میان انداخت,,,,,,
142,16,7,ز شرم آن که به روی تو نسبتش کردم ** سمن به دست صبا خاک در دهان انداخت,,خاک در دهان انداختن:پشیمان شدن و توبه کردن,,,,
143,16,8,من از ورع می و مطرب ندیدمی زین پیش ** هوای مغبچگانم در این و آن انداخت,,,,,,
144,16,9,کنون به آب می لعل خرقه می‌شویم ** نصیبه ازل از خود نمی‌توان انداخت,می:آب,,,,,
145,16,10,مگر گشایش حافظ در این خرابی بود ** که بخشش ازلش در می مغان انداخت,,,,,,
146,16,11,جهان به کام من اکنون شود که دور زمان ** مرا به بندگی خواجه جهان انداخت,,,,,,
147,17,1,سینه از آتش دل در غم جانانه بسوخت ** آتشی بود در این خانه که کاشانه بسوخت,,آتش دل:عشق,کاشانه:سینه,,,
148,17,2,تنم از واسطه دوری دلبر بگداخت ** جانم از آتش مهر رخ جانانه بسوخت,,,,,مهر:1. خورشید 2. عشق و محبت,
149,17,3,سوز دل بین که ز بس آتش اشکم دل شمع ** دوش بر من ز سر مهر چو پروانه بسوخت,مهر:رخ,,دل شمع:دل انسان,,سر:دل,
150,17,4,آشنایی نه غریب است که دلسوز من است ** چون من از خویش برفتم دل بیگانه بسوخت,,,,,غریب:1. ناآشنا و بیگانه 2. شگفت و عجیب,
151,17,5,خرقه زهد مرا آب خرابات ببرد ** خانه عقل مرا آتش میخانه بسوخت,عقل:خانه,,,,,بردن:نابود کردن
152,17,6,چون پیاله دلم از توبه که کردم بشکست ** همچو لاله جگرم بی می و خمخانه بسوخت,,,,,,
153,17,7,ماجرا کم کن و بازآ که مرا مردم چشم ** خرقه از سر به درآورد و به شکرانه بسوخت,,,,,,
154,17,8,ترک افسانه بگو حافظ و می نوش دمی ** که نخفتیم شب و شمع به افسانه بسوخت,,,,,افسانه:1. سخن دور از حقیقت 2. سخن دروغ و باطل، سوختن:1. سوختن شمع همزمان با گفتن افسانه 2. بیهوده و بی نتیجه سوختن شمع,
155,18,1,ساقیا آمدن عید مبارک بادت ** وان مواعید که کردی مرواد از یادت,,,,,,
156,18,2,در شگفتم که در این مدت ایام فراق ** برگرفتی ز حریفان دل و دل می‌دادت,,دل بر گرفتن:رها ساختن، دل دادن:راضی شدن,,,,
157,18,3,برسان بندگی دختر رز گو به درآی ** که دم و همت ما کرد ز بند آزادت,,,دختر رز:شراب,,,
158,18,4,شادی مجلسیان در قدم و مقدم توست ** جای غم باد مر آن دل که نخواهد شادت,,,,قدم-مقدم,,
159,18,5,شکر ایزد که ز تاراج خزان رخنه نیافت ** بوستان سمن و سرو و گل و شمشادت,,,,,,
160,18,6,چشم بد دور کز آن تفرقه‌ات بازآورد ** طالع نامور و دولت مادرزادت,,,,,,
161,18,7,حافظ از دست مده دولت این کشتی نوح ** ور نه طوفان حوادث ببرد بنیادت,,,کشتی نوح:جام شراب,,,
162,19,1,ای نسیم سحر آرامگه یار کجاست ** منزل آن مه عاشق کش عیار کجاست,,,مه:معشوق زیبا,,,
163,19,2,شب تار است و ره وادی ایمن در پیش ** آتش طور کجا موعد دیدار کجاست,,,,,,
164,19,3,هر که آمد به جهان نقش خرابی دارد ** در خرابات بگویید که هشیار کجاست,,,خرابات:دنیا,,,
165,19,4,آن کس است اهل بشارت که اشارت داند ** نکته‌ها هست بسی محرم اسرار کجاست,,,,بشارت-اشارت,,
166,19,5,هر سر موی مرا با تو هزاران کار است ** ما کجاییم و ملامت گر بی‌کار کجاست,,,,,,
167,19,6,بازپرسید ز گیسوی شکن در شکنش ** کاین دل غمزده سرگشته گرفتار کجاست,,,,,,
168,19,7,عقل دیوانه شد آن سلسله مشکین کو ** دل ز ما گوشه گرفت ابروی دلدار کجاست,,,سلسله:زلف پرپیچ و تاب معشوق,,,
169,19,8,ساقی و مطرب و می جمله مهیاست ولی ** عیش بی یار مهیا نشود یار کجاست,,,,,,
170,19,9,حافظ از باد خزان در چمن دهر مرنج ** فکر معقول بفرما گل بی خار کجاست,دهر:چمن و باغ,,گل بی خار:عیش صافی و بی دردسر,,,
171,20,1,روزه یک سو شد و عید آمد و دل‌ها برخاست ** می ز خمخانه به جوش آمد و می باید خواست,,,,,,
172,20,2,نوبه زهدفروشان گران جان بگذشت ** وقت رندی و طرب کردن رندان پیداست,,,,,,
173,20,3,چه ملامت بود آن را که چنین باده خورد ** این چه عیب است بدین بی‌خردی وین چه خطاست,,,,,,
174,20,4,باده نوشی که در او روی و ریایی نبود ** بهتر از زهدفروشی که در او روی و ریاست,,,,,باده نوشی:1. شراب خوری 2. شخص شرابخوار، زهد فروشی:1. زهد فروختن و ریا نمودن 2. شخص زاهد و ریاکار,
175,20,5,ما نه رندان ریاییم و حریفان نفاق ** آن که او عالم سر است بدین حال گواست,,,,,,
176,20,6,فرض ایزد بگزاریم و به کس بد نکنیم ** وان چه گویند روا نیست نگوییم رواست,,,,,,
177,20,7,چه شود گر من و تو چند قدح باده خوریم ** باده از خون رزان است نه از خون شماست,,,خون رزان:شراب,,,
178,20,8,این چه عیب است کز آن عیب خلل خواهد بود ** ور بود نیز چه شد مردم بی‌عیب کجاست,,,,,,
179,21,1,دل و دینم شد و دلبر به ملامت برخاست ** گفت با ما منشین کز تو سلامت برخاست,,دل و دین شدن:عاشق شدن,,برخاست-برخاست,,
180,21,2,که شنیدی که در این بزم دمی خوش بنشست ** که نه در آخر صحبت به ندامت برخاست,,آخر صحبت:آخر عمر,این بزم:جهان مادی,,,
181,21,3,شمع اگر زان لب خندان به زبان لافی زد ** پیش عشاق تو شب‌ها به غرامت برخاست,,,,,,
182,21,4,در چمن باد بهاری ز کنار گل و سرو ** به هواداری آن عارض و قامت برخاست,,,,,هواداری:باد,چمن:باغ
183,21,5,مست بگذشتی و از خلوتیان ملکوت ** به تماشای تو آشوب قیامت برخاست,,خلوتیان ملکوت:فرشتگان,,,,
184,21,6,پیش رفتار تو پا برنگرفت از خجلت ** سرو سرکش که به ناز از قد و قامت برخاست,,,,,,
185,21,7,حافظ این خرقه بینداز مگر جان ببری ** کاتش از خرقه سالوس و کرامت برخاست,,خرقه انداختن:ترک تعلقات گفتن و دست از ریا کشیدن,,,,
186,22,1,چو بشنوی سخن اهل دل مگو که خطاست ** سخن شناس نه‌ای جان من خطا این جاست,,,,,,
187,22,2,سرم به دنیی و عقبی فرو نمی‌آید ** تبارک الله از این فتنه‌ها که در سر ماست,,سر فرود آمدن:تسلیم شدن و تعظیم کردن,,,,
188,22,3,در اندرون من خسته دل ندانم کیست ** که من خموشم و او در فغان و در غوغاست,,,,,,
189,22,4,دلم ز پرده برون شد کجایی ای مطرب ** بنال هان که از این پرده کار ما به نواست,,,,پرده-پرده,دل از پرده برون شدن:1. دل از حجاب و پرده بیرون آمدن، 2. دل از نغمه و آهنگ خارج شدن,
190,22,5,مرا به کار جهان هرگز التفات نبود ** رخ تو در نظر من چنین خوشش آراست,,,,,,
191,22,6,نخفته‌ام ز خیالی که می‌پزد دل من ** خمار صدشبه دارم شرابخانه کجاست,,,,,,
192,22,7,چنین که صومعه آلوده شد ز خون دلم ** گرم به باده بشویید حق به دست شماست,,,,,حق به دست شماست:1. حق با شماست. 2. این تن من که در دست شماست و با شراب می شویید، حق است.,
193,22,8,از آن به دیر مغانم عزیز می‌دارند ** که آتشی که نمیرد همیشه در دل ماست,,,آتش:عشق,,,
194,22,9,چه ساز بود که در پرده می‌زد آن مطرب ** که رفت عمر و هنوزم دماغ پر ز هواست,,,,,,
195,22,10,ندای عشق تو دیشب در اندرون دادند ** فضای سینه حافظ هنوز پر ز صداست,,,,,,
196,23,1,خیال روی تو در هر طریق همره ماست ** نسیم موی تو پیوند جان آگه ماست,,,,روی-موی,,
197,23,2,به رغم مدعیانی که منع عشق کنند ** جمال چهره تو حجت موجه ماست,,,,,,
198,23,3,ببین که سیب زنخدان تو چه می‌گوید ** هزار یوسف مصری فتاده در چه ماست,زنخدان:سیب,,,چه-چه,,
199,23,4,اگر به زلف دراز تو دست ما نرسد ** گناه بخت پریشان و دست کوته ماست,,دست کوته:نداشتن زور و قدرت,,,,
